ticket,application,week_start_date,description
GMC3078596,one drive,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit https://support.example.com the an additional issue.
GMC3281347,ppt,2002-05-15,the excel sheet is locked for editing by admin@company.com contact user@mail.com or visit http://company.com/help on on additional issue.
GMC3562783,ppt,2002-05-15,issue in managing file permission in one drive contact admin@company.com or visit http://docs.company.com a a additional issue.
GMC3579065,one drive,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit https://support.example.com on which additional issue.
GMC3435044,ppt,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact support@example.com or visit https://support.example.com an an additional issue.
GMC3910471,share point,2002-05-15,share point link https://support.example.com not opening correctly contact user@mail.com or visit https://support.example.com a a additional issue.
GMC3141726,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact user@mail.com or visit https://support.example.com on an additional issue.
GMC3776904,ppt,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact admin@company.com or visit https://support.example.com for which additional issue.
GMC3177559,ppt,2002-05-15,share point link https://support.example.com not opening correctly contact support@example.com or visit http://docs.company.com at which additional issue.
GMC3563040,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit http://company.com/help on an additional issue.
GMC3503326,share point,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit https://support.example.com which an additional issue.
GMC3801803,share point,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact user@mail.com or visit https://support.example.com at for additional issue.
GMC3847374,one drive,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact support@example.com or visit http://docs.company.com at the additional issue.
GMC3191904,one drive,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit https://support.example.com an which additional issue.
GMC3705471,one drive,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit http://company.com/help which on additional issue.
GMC3819346,one drive,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit https://support.example.com at which additional issue.
GMC3922160,excel,2002-05-15,issue in managing file permission in one drive contact support@example.com or visit http://company.com/help which for additional issue.
GMC3193503,share point,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact support@example.com or visit http://docs.company.com an which additional issue.
GMC3536267,excel,2002-05-15,issue in managing file permission in one drive contact support@example.com or visit http://docs.company.com the at additional issue.
GMC3712442,excel,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit https://support.example.com which for additional issue.
GMC3483627,one drive,2002-05-15,ppt crashes when adding images from http://company.com/help contact support@example.com or visit http://company.com/help the for additional issue.
GMC3480014,ppt,2002-05-15,ppt crashes when adding images from http://company.com/help contact admin@company.com or visit https://support.example.com at on additional issue.
GMC3313974,one drive,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit https://support.example.com the on additional issue.
GMC3750417,one drive,2002-05-15,excel chart formatting resets automatically for a user contact user@mail.com or visit https://support.example.com a an additional issue.
GMC3847578,one drive,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact user@mail.com or visit http://company.com/help an which additional issue.
GMC3904647,excel,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit http://company.com/help is at additional issue.
GMC3911933,excel,2002-05-15,excel chart formatting resets automatically for a user contact support@example.com or visit http://docs.company.com the which additional issue.
GMC3058228,one drive,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit http://docs.company.com at for additional issue.
GMC3033772,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit http://docs.company.com on is additional issue.
GMC3453745,share point,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit https://support.example.com is on additional issue.
GMC3175025,ppt,2002-05-15,excel chart formatting resets automatically for a user contact user@mail.com or visit http://docs.company.com is is additional issue.
GMC3832372,one drive,2002-05-15,issue in managing file permission in one drive contact support@example.com or visit http://docs.company.com at for additional issue.
GMC3431694,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact admin@company.com or visit http://docs.company.com which the additional issue.
GMC3566066,one drive,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit http://docs.company.com an the additional issue.
GMC3722025,excel,2002-05-15,share point link https://support.example.com not opening correctly contact support@example.com or visit http://company.com/help which at additional issue.
GMC3892519,excel,2002-05-15,excel chart formatting resets automatically for a user contact user@mail.com or visit http://company.com/help at is additional issue.
GMC3913423,share point,2002-05-15,share point link https://support.example.com not opening correctly contact user@mail.com or visit https://support.example.com which on additional issue.
GMC3701675,share point,2002-05-15,excel chart formatting resets automatically for a user contact support@example.com or visit http://company.com/help is a additional issue.
GMC3540140,share point,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit http://company.com/help which for additional issue.
GMC3730731,excel,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit http://docs.company.com which which additional issue.
GMC3534684,excel,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact support@example.com or visit https://support.example.com for is additional issue.
GMC3033453,excel,2002-05-15,share point link https://support.example.com not opening correctly contact user@mail.com or visit http://company.com/help at at additional issue.
GMC3162521,share point,2002-05-15,ppt crashes when adding images from http://company.com/help contact support@example.com or visit https://support.example.com an for additional issue.
GMC3839418,ppt,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit http://company.com/help for which additional issue.
GMC3797750,share point,2002-05-15,share point link https://support.example.com not opening correctly contact support@example.com or visit https://support.example.com at for additional issue.
GMC3010111,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit http://docs.company.com is an additional issue.
GMC3698544,one drive,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit https://support.example.com on at additional issue.
GMC3751348,excel,2002-05-15,share point link https://support.example.com not opening correctly contact support@example.com or visit https://support.example.com is which additional issue.
GMC3593570,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit http://docs.company.com on is additional issue.
GMC3849701,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact support@example.com or visit http://company.com/help the a additional issue.
GMC3572383,share point,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit https://support.example.com is on additional issue.
GMC3935531,share point,2002-05-15,issue in managing file permission in one drive contact admin@company.com or visit http://company.com/help is which additional issue.
GMC3358519,share point,2002-05-15,the excel sheet is locked for editing by admin@company.com contact user@mail.com or visit http://company.com/help is on additional issue.
GMC3540106,one drive,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact user@mail.com or visit http://company.com/help the on additional issue.
GMC3359692,ppt,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit https://support.example.com on on additional issue.
GMC3391661,ppt,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact user@mail.com or visit http://docs.company.com at a additional issue.
GMC3404483,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit https://support.example.com at the additional issue.
GMC3847837,ppt,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact support@example.com or visit https://support.example.com on at additional issue.
GMC3428883,share point,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact user@mail.com or visit http://docs.company.com at the additional issue.
GMC3126545,share point,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit http://docs.company.com the an additional issue.
GMC3456318,one drive,2002-05-15,ppt crashes when adding images from http://company.com/help contact user@mail.com or visit https://support.example.com which is additional issue.
GMC3415125,one drive,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit https://support.example.com for for additional issue.
GMC3445847,one drive,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit https://support.example.com an an additional issue.
GMC3847526,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit http://docs.company.com the is additional issue.
GMC3307444,share point,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact support@example.com or visit http://company.com/help which on additional issue.
GMC3273145,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact admin@company.com or visit https://support.example.com for the additional issue.
GMC3131190,excel,2002-05-15,ppt crashes when adding images from http://company.com/help contact admin@company.com or visit http://docs.company.com for the additional issue.
GMC3818371,one drive,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit https://support.example.com at the additional issue.
GMC3061000,share point,2002-05-15,the excel sheet is locked for editing by admin@company.com contact admin@company.com or visit http://company.com/help on is additional issue.
GMC3111792,one drive,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit http://company.com/help is on additional issue.
GMC3154598,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit http://company.com/help for for additional issue.
GMC3717734,share point,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact user@mail.com or visit http://company.com/help at which additional issue.
GMC3109737,share point,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit http://company.com/help for at additional issue.
GMC3921477,one drive,2002-05-15,user unable to upload file on share point due to permission at system level contact user@mail.com or visit https://support.example.com a for additional issue.
GMC3523893,one drive,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit http://company.com/help is a additional issue.
GMC3070112,share point,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit http://company.com/help on on additional issue.
GMC3789214,one drive,2002-05-15,excel chart formatting resets automatically for a user contact support@example.com or visit https://support.example.com an which additional issue.
GMC3162751,share point,2002-05-15,user unable to upload file on share point due to permission at system level contact user@mail.com or visit http://company.com/help on at additional issue.
GMC3845141,one drive,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact user@mail.com or visit https://support.example.com an for additional issue.
GMC3388756,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact support@example.com or visit https://support.example.com on the additional issue.
GMC3609447,ppt,2002-05-15,ppt crashes when adding images from http://company.com/help contact admin@company.com or visit http://company.com/help at an additional issue.
GMC3713946,share point,2002-05-15,the excel sheet is locked for editing by admin@company.com contact user@mail.com or visit http://docs.company.com which which additional issue.
GMC3011455,one drive,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact user@mail.com or visit http://docs.company.com on a additional issue.
GMC3254224,one drive,2002-05-15,ppt crashes when adding images from http://company.com/help contact admin@company.com or visit http://docs.company.com which for additional issue.
GMC3840175,ppt,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact support@example.com or visit https://support.example.com at is additional issue.
